method,seed,wall_clock_s,accuracy
fedavg,1337,176.159932528,0.0952
fedavg,1337,378.537464476,0.1689
fedavg,1337,378.53807829,0.1689
fedavg,1337,539.214049392,0.1771
fedavg,1337,539.214406614,0.1771
fedavg,1337,699.771469914,0.229
fedavg,1337,699.771769247,0.229
fedavg,1337,861.541870462,0.1786
fedavg,1337,861.542198739,0.1786
fedavg,1337,1020.989527695,0.2147
fedavg,1337,1020.99013425,0.2147
fedavg,1337,1180.523740008,0.2075
fedavg,1337,1180.524314155,0.2075
fedavg,1337,1340.069386636,0.1746
fedavg,1337,1340.069879043,0.1746
fedavg,1337,1499.656315706,0.1998
fedavg,1337,1499.656591483,0.1998
fedavg,1337,1659.117677697,0.2644
fedavg,1337,1659.118028233,0.2644
fedavg,1337,1818.556128836,0.2517
fedavg,1337,1818.556552909,0.2517
fedavg,1337,1978.048317307,0.2776
fedavg,1337,1978.048633454,0.2776
fedavg,1337,2140.503654172,0.266
fedavg,1337,2140.50387832,0.266
fedavg,1337,2299.95501721,0.1929
fedavg,1337,2299.955569931,0.1929
fedavg,1337,2459.482024909,0.2048
fedavg,1337,2459.482545038,0.2048
fedavg,1337,2619.039189755,0.2077
fedavg,1337,2619.039557902,0.2077
fedavg,1337,2781.591688775,0.2057
fedavg,1337,2781.591959941,0.2057
fedavg,1337,2940.36598795,0.21
fedavg,1337,2940.366340042,0.21
fedavg,1337,3101.072157184,0.2475
fedavg,1337,3101.072744406,0.2475
fedavg,1337,3260.511904568,0.2657
fedavg,1337,3260.51222029,0.2657
fedavg,1337,3418.163486896,0.2754
fedavg,1337,3418.163775118,0.2754
fedavg,1337,3578.915530056,0.283
fedavg,1337,3578.915807259,0.283
fedavg,1337,3739.598346405,0.2747
fedavg,1337,3739.599023089,0.2747
fedavg,1337,3899.146040296,0.284
fedavg,1337,3899.146450703,0.284
fedavg,1337,4058.63675552,0.2758
fedavg,1337,4058.637007964,0.2758
fedavg,1337,4219.256235533,0.2582
fedavg,1337,4219.256508273,0.2582
fedavg,1337,4379.71695528,0.2771
fedavg,1337,4379.717548223,0.2771
fedavg,1337,4539.22993184,0.2957
fedavg,1337,4539.230232895,0.2957
fedavg,1337,4700.936478923,0.3062
fedavg,1337,4700.936691645,0.3062
fedavg,1337,4860.47257553,0.3035
fedavg,1337,4860.472921789,0.3035
fedavg,1337,5023.199169649,0.3086
fedavg,1337,5023.199756222,0.3086
fedavg,1337,5182.708759452,0.3032
fedavg,1337,5182.709345599,0.3032
fedavg,1337,5343.353854038,0.3012
fedavg,1337,5343.354441185,0.3012
fedavg,1337,5503.11177845,0.3165
fedavg,1337,5503.112380319,0.3165
fedavg,1337,5663.528609629,0.3152
fedavg,1337,5663.528935221,0.3152
fedavg,1337,5823.130592168,0.332
fedavg,1337,5823.130874112,0.332
fedavg,1337,5982.733445314,0.325
fedavg,1337,5982.734047702,0.325
fedavg,1337,6142.272117148,0.3099
fedavg,1337,6142.272421851,0.3099
fedavg,1337,6301.733405116,0.3411
fedavg,1337,6301.73402467,0.3411
fedavg,1337,6464.312705003,0.3297
fedavg,1337,6464.312932336,0.3297
fedavg,1337,6621.650033081,0.3256
fedavg,1337,6621.650352247,0.3256
fedavg,1337,6782.312535681,0.3235
fedavg,1337,6782.312889384,0.3235
fedavg,1337,6942.875307895,0.3462
fedavg,1337,6942.87562682,0.3462
fedavg,1337,7102.364043002,0.3537
fedavg,1337,7102.364597705,0.3537
fedavg,1337,7264.907852049,0.3915
fedavg,1337,7264.90809203,0.3915
fedavg,1337,7422.507203247,0.3891
fedavg,1337,7422.507584394,0.3891
fedavg,1337,7585.018697136,0.4121
fedavg,1337,7585.019225523,0.4121
fedavg,1337,7744.544875759,0.397
fedavg,1337,7744.545127685,0.397
fedavg,1337,7906.443113137,0.4012
fedavg,1337,7906.443796025,0.4012
fedavg,1337,8066.974389138,0.4021
fedavg,1337,8066.974923952,0.4021
fedavg,1337,8225.516778069,0.4045
fedavg,1337,8225.51736316,0.4045
fedbuff,1337,66.812668329,0.1001
fedbuff,1337,148.523267437,0.2706
fedbuff,1337,184.364418029,0.2982
fedbuff,1337,236.853510229,0.3212
fedbuff,1337,258.834187331,0.3351
fedbuff,1337,281.544997083,0.3406
fedbuff,1337,281.545287694,0.3406
fedbuff,1337,346.337333783,0.3531
fedbuff,1337,370.454517714,0.351
fedbuff,1337,370.454926861,0.351
fedbuff,1337,395.281265979,0.3557
fedbuff,1337,442.722598412,0.3628
fedbuff,1337,479.901809817,0.3651
